id,pais,ciudad,metodo_red,n_nodos,n_pois_total,servicios_con_datos,cobertura_baja
1,México,Tijuana,pbf_disk_6000m,21809,1158,8,False
2,México,Hermosillo,pbf_disk_6000m,20819,883,8,False
3,México,Chihuahua,pbf_disk_6000m,22179,1123,8,False
4,México,Monterrey,pbf_disk_6000m,29846,1408,8,False
5,México,Culiacán,pbf_disk_6000m,21516,758,8,False
6,México,Guadalajara,pbf_disk_6000m,27890,3942,8,False
7,México,Aguascalientes,pbf_disk_6000m,25179,1680,8,False
8,México,San Luis Potosí,pbf_disk_6000m,27375,4604,8,False
9,México,Querétaro,pbf_disk_6000m,30181,2260,8,False
10,México,Ciudad de México,pbf_disk_6000m,33834,4636,8,False
11,México,Puebla,pbf_disk_6000m,29134,1306,8,False
12,México,Veracruz,pbf_disk_6000m,15899,979,8,False
13,México,Oaxaca de Juárez,pbf_disk_6000m,18813,2016,8,False
14,México,Tuxtla Gutiérrez,pbf_disk_6000m,16909,393,8,False
15,México,Mérida,pbf_disk_6000m,23031,878,8,False
16,México,Valle de Bravo,pbf_disk_6000m,2623,117,8,False
17,México,León,pbf_disk_6000m,25175,381,8,False
18,Colombia,Barranquilla,pbf_disk_6000m,21849,1020,8,False
19,Colombia,Cartagena,pbf_disk_6000m,18549,1232,8,False
20,Colombia,Santa Marta,pbf_disk_6000m,9653,536,8,False
21,Colombia,Montería,pbf_disk_6000m,9850,1834,8,False
22,Colombia,Valledupar,pbf_disk_6000m,8360,174,8,False
23,Colombia,Bucaramanga,pbf_disk_6000m,16190,1060,8,False
24,Colombia,Medellín,pbf_disk_6000m,38337,2817,8,False
25,Colombia,Bogotá,pbf_disk_6000m,46399,4400,8,False
26,Colombia,Tunja,pbf_disk_6000m,7343,478,8,False
27,Colombia,Manizales,pbf_disk_6000m,9655,563,8,False
28,Colombia,Pereira,pbf_disk_6000m,14603,426,8,False
29,Colombia,Cali,pbf_disk_6000m,32515,1562,8,False
30,Colombia,Pasto,pbf_disk_6000m,8836,617,8,False
31,Colombia,Villavicencio,pbf_disk_6000m,11799,583,8,False
32,Colombia,Cúcuta,pbf_disk_6000m,18565,1456,8,False
33,Colombia,Ibagué,pbf_disk_6000m,8914,732,8,False
34,Colombia,Armenia,pbf_disk_6000m,12571,2449,8,False
35,Colombia,Soacha,pbf_disk_6000m,22710,1150,8,False
36,Colombia,Soledad,pbf_disk_6000m,18866,724,8,False
37,Colombia,Bello,pbf_disk_6000m,13905,1055,8,False
38,Colombia,Neiva,pbf_disk_6000m,10324,399,8,False
39,Colombia,Palmira,pbf_disk_6000m,7157,324,8,False
40,Colombia,Popayán,pbf_disk_6000m,8162,576,8,False
41,Colombia,Buenaventura,pbf_disk_6000m,4685,67,8,False
42,Colombia,Sincelejo,pbf_disk_6000m,7131,417,7,False
43,Colombia,Riohacha,pbf_disk_6000m,4804,538,8,False
44,Colombia,Floridablanca,pbf_disk_6000m,10671,679,8,False
45,Colombia,Itagüí,pbf_disk_6000m,20838,1034,8,False
46,Colombia,Tumaco,pbf_disk_6000m,1040,64,6,False
47,Colombia,Envigado,pbf_disk_6000m,20228,941,8,False
48,Colombia,Tuluá,pbf_disk_6000m,5337,237,7,False
49,Colombia,Barrancabermeja,pbf_disk_6000m,6113,306,8,False
50,Colombia,Dosquebradas,pbf_disk_6000m,11575,363,8,False
51,Colombia,Apartadó,pbf_disk_6000m,2666,107,6,False
52,Colombia,Jamundí,pbf_disk_6000m,6376,124,8,False
53,Colombia,Girón,pbf_disk_6000m,5984,239,7,False
54,Colombia,Piedecuesta,pbf_disk_6000m,3766,145,6,False
55,Colombia,Yopal,pbf_disk_6000m,5990,551,8,False
56,Colombia,Florencia,pbf_disk_6000m,4730,167,7,False
57,Colombia,Maicao,pbf_disk_6000m,5910,204,6,False
58,Colombia,Turbo,pbf_disk_6000m,1538,76,8,False
59,Colombia,Facatativá,pbf_disk_6000m,3033,125,8,False
60,Colombia,Ipiales,pbf_disk_6000m,3166,177,8,False
61,Colombia,Chía,pbf_disk_6000m,10297,217,8,False
62,Colombia,Pitalito,pbf_disk_6000m,3555,87,7,False
63,Colombia,Fusagasugá,pbf_disk_6000m,5659,125,8,False
64,Colombia,Malambo,pbf_disk_6000m,8717,212,8,False
65,Colombia,Zipaquirá,pbf_disk_6000m,4222,124,7,False
66,Colombia,Cartago,pbf_disk_6000m,4334,121,8,False
67,Colombia,Rionegro,pbf_disk_6000m,8760,219,8,False
68,Colombia,Quibdó,pbf_disk_6000m,2176,93,6,False
69,Colombia,Yumbo,pbf_disk_6000m,2974,95,7,False
70,Colombia,Magangué,pbf_disk_6000m,2306,131,5,False
71,Colombia,Sogamoso,pbf_disk_6000m,6260,81,8,False
72,Colombia,Duitama,pbf_disk_6000m,5792,377,8,False
73,Colombia,Girardot,pbf_disk_6000m,7200,130,8,False
74,Colombia,Ciénaga,pbf_disk_6000m,2355,117,7,False
75,Colombia,Lorica,pbf_disk_6000m,1953,68,7,False
76,Colombia,Sabanalarga,pbf_disk_6000m,2134,13,5,False
