id,pais,ciudad,region_geografica,servicio,n_pois,dist_mean,dist_median,dist_std,dist_p90,dist_cv,pct_acceso
1,México,Tijuana,"Noroeste (frontera, Pacífico)",hospital,16,2185.653313,1632.727,1716.194495,4662.5234,0.7852,33.33
1,México,Tijuana,"Noroeste (frontera, Pacífico)",clinica,25,1897.911068,1292.224,1602.118547,4454.3738,0.8441,41.57
1,México,Tijuana,"Noroeste (frontera, Pacífico)",farmacia,90,945.191984,671.036,868.854344,2149.9318,0.9192,64.79
1,México,Tijuana,"Noroeste (frontera, Pacífico)",escuela,593,450.791914,385.554,322.530584,857.2698,0.7155,93.95
1,México,Tijuana,"Noroeste (frontera, Pacífico)",mercado,175,621.797415,460.436,548.516997,1295.5256,0.8821,79.27
1,México,Tijuana,"Noroeste (frontera, Pacífico)",parque,241,716.310771,508.999,600.475634,1645.8814,0.8383,72.05
1,México,Tijuana,"Noroeste (frontera, Pacífico)",policia,15,1923.215679,1693.316,1289.536262,3552.6174,0.6705,31.1
1,México,Tijuana,"Noroeste (frontera, Pacífico)",bomberos,3,3982.996494,3157.493,2719.631429,8480.6548,0.6828,7.08
2,México,Hermosillo,Noroeste,hospital,21,2054.273777,1604.691,1387.667423,4230.457,0.6755,26.51
2,México,Hermosillo,Noroeste,clinica,13,2234.126676,2007.39,1387.574018,4245.7528,0.6211,22.25
2,México,Hermosillo,Noroeste,farmacia,51,1103.400784,952.85,704.575736,2180.7992,0.6385,52.55
2,México,Hermosillo,Noroeste,escuela,243,596.086102,512.914,411.213132,1098.6468,0.6899,86.27
2,México,Hermosillo,Noroeste,mercado,169,571.191492,506.558,377.241553,1094.7556,0.6604,87.37
2,México,Hermosillo,Noroeste,parque,374,533.208312,454.743,413.444375,1024.8604,0.7754,89.26
2,México,Hermosillo,Noroeste,policia,11,2826.370814,2680.724,1400.364069,4832.528,0.4955,8.3
2,México,Hermosillo,Noroeste,bomberos,1,4751.126477,4588.876,2237.993059,7916.9688,0.471,2.85
3,México,Chihuahua,Norte,hospital,19,1826.28653,1679.695,1079.030815,3314.1778,0.5908,24.93
3,México,Chihuahua,Norte,clinica,5,3048.235656,2996.041,1533.590118,5075.5608,0.5031,9.7
3,México,Chihuahua,Norte,farmacia,23,1802.137931,1679.576,1055.91849,3215.03,0.5859,26.85
3,México,Chihuahua,Norte,escuela,170,645.96433,546.405,446.119925,1199.8116,0.6906,82.7
3,México,Chihuahua,Norte,mercado,99,801.723741,685.91,580.788959,1510.3034,0.7244,72.73
3,México,Chihuahua,Norte,parque,801,406.927157,341.886,348.263844,823.9548,0.8558,95.66
3,México,Chihuahua,Norte,policia,2,3882.038545,3821.836,1672.802448,6130.5488,0.4309,3.21
3,México,Chihuahua,Norte,bomberos,4,2979.917759,3005.338,1324.235634,4592.9598,0.4444,6.43
4,México,Monterrey,Noreste,hospital,51,1148.08985,1068.7785,620.946712,1974.5605,0.5409,45.11
4,México,Monterrey,Noreste,clinica,58,1289.13563,1203.1455,721.786049,2217.0085,0.5599,37.96
4,México,Monterrey,Noreste,farmacia,76,918.267356,855.5945,519.740974,1654.3355,0.566,59.94
4,México,Monterrey,Noreste,escuela,203,705.997706,610.7375,463.987803,1314.5965,0.6572,79.55
4,México,Monterrey,Noreste,mercado,302,497.999621,440.419,331.266668,931.5875,0.6652,92.65
4,México,Monterrey,Noreste,parque,707,432.62013,380.093,307.842228,853.637,0.7116,94.87
4,México,Monterrey,Noreste,policia,6,3082.189025,2525.4235,1873.095199,5991.283,0.6077,8.35
4,México,Monterrey,Noreste,bomberos,5,3098.905338,2809.9505,1699.229437,5661.3135,0.5483,7.6
5,México,Culiacán,Noroeste,hospital,14,2416.971521,2275.592,1373.627541,4199.3975,0.5683,16.53
5,México,Culiacán,Noroeste,clinica,10,2147.254206,2091.532,1055.580883,3572.3655,0.4916,15.18
5,México,Culiacán,Noroeste,farmacia,46,1333.291992,1128.4755,884.863495,2655.277,0.6637,44.53
5,México,Culiacán,Noroeste,escuela,118,938.929016,750.504,764.35866,1751.857,0.8141,67.03
5,México,Culiacán,Noroeste,mercado,188,598.66152,487.788,454.607225,1214.5375,0.7594,84.44
5,México,Culiacán,Noroeste,parque,375,514.40186,439.8305,377.956317,1040.7235,0.7347,88.72
5,México,Culiacán,Noroeste,policia,6,4172.339577,4165.5035,1819.836072,6592.8105,0.4362,5.0
5,México,Culiacán,Noroeste,bomberos,1,5455.307136,5357.1145,2290.833108,8543.5415,0.4199,1.73
6,México,Guadalajara,Occidente (Bajío),hospital,50,1601.609652,1123.7125,1300.219728,3534.6095,0.8118,44.63
6,México,Guadalajara,Occidente (Bajío),clinica,49,1434.576171,1279.182,850.553072,2642.6138,0.5929,36.33
6,México,Guadalajara,Occidente (Bajío),farmacia,829,372.541375,289.5395,323.737352,769.3435,0.869,94.81
6,México,Guadalajara,Occidente (Bajío),escuela,1848,251.805577,213.4885,195.295582,476.7142,0.7756,98.9
6,México,Guadalajara,Occidente (Bajío),mercado,223,578.416409,498.812,391.797121,1094.342,0.6774,86.59
6,México,Guadalajara,Occidente (Bajío),parque,928,395.819469,327.1945,315.451991,825.5991,0.797,94.49
6,México,Guadalajara,Occidente (Bajío),policia,11,2681.806597,2672.4605,1312.763855,4483.2496,0.4895,11.77
6,México,Guadalajara,Occidente (Bajío),bomberos,4,3285.341546,3100.9625,1700.031729,5760.0939,0.5175,7.78
7,México,Aguascalientes,Centro-Bajío,hospital,24,1796.591908,1514.498,1110.160638,3500.1676,0.6179,26.67
7,México,Aguascalientes,Centro-Bajío,clinica,15,2668.839789,2457.048,1471.816489,4864.1458,0.5515,12.26
7,México,Aguascalientes,Centro-Bajío,farmacia,65,1038.710245,886.707,712.766424,1922.251,0.6862,58.05
7,México,Aguascalientes,Centro-Bajío,escuela,843,475.913997,336.373,444.512146,1072.6918,0.934,88.36
7,México,Aguascalientes,Centro-Bajío,mercado,218,682.665094,539.782,571.787396,1335.9868,0.8376,81.04
7,México,Aguascalientes,Centro-Bajío,parque,502,569.969708,442.069,509.271092,1190.8198,0.8935,86.26
7,México,Aguascalientes,Centro-Bajío,policia,12,2362.380777,2031.707,1419.280159,4483.6396,0.6008,15.8
7,México,Aguascalientes,Centro-Bajío,bomberos,1,5643.639857,5642.759,2651.423266,9315.8098,0.4698,1.78
8,México,San Luis Potosí,Centro-Norte,hospital,22,2102.212515,1732.157,1451.737556,4446.1976,0.6906,22.68
8,México,San Luis Potosí,Centro-Norte,clinica,19,2410.981224,2300.58,1409.262791,4452.8744,0.5845,20.6
8,México,San Luis Potosí,Centro-Norte,farmacia,72,1173.164778,893.64,900.609286,2550.9474,0.7677,54.85
8,México,San Luis Potosí,Centro-Norte,escuela,187,758.732026,622.673,573.608059,1500.4498,0.756,75.1
8,México,San Luis Potosí,Centro-Norte,mercado,3509,200.48058,111.389,306.511968,434.8986,1.5289,96.77
8,México,San Luis Potosí,Centro-Norte,parque,782,617.200035,469.55,547.082052,1325.6476,0.8864,80.73
8,México,San Luis Potosí,Centro-Norte,policia,9,2257.424817,2123.444,1163.19105,3926.3646,0.5153,13.82
8,México,San Luis Potosí,Centro-Norte,bomberos,4,3397.955096,3344.178,1532.627115,5465.1624,0.451,5.53
9,México,Querétaro,Bajío (Centro),hospital,34,1757.396865,1492.595,1239.292433,3421.954,0.7052,31.02
9,México,Querétaro,Bajío (Centro),clinica,22,2123.087081,1764.763,1454.60359,4278.756,0.6851,26.43
9,México,Querétaro,Bajío (Centro),farmacia,177,834.406442,596.639,826.13209,1735.546,0.9901,72.88
9,México,Querétaro,Bajío (Centro),escuela,218,786.733742,576.127,723.357703,1718.261,0.9194,76.86
9,México,Querétaro,Bajío (Centro),mercado,1072,401.462747,240.327,539.534097,853.634,1.3439,92.18
