id,pais,ciudad,region_geografica,servicio,metrica,spearman_rho,p_valor,significativo
1,México,Tijuana,"Noroeste (frontera, Pacífico)",bomberos,betweenness_c,-0.0347,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",bomberos,closeness_c,-0.5234,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",bomberos,degree_c,-0.1484,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",clinica,betweenness_c,-0.0579,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",clinica,closeness_c,-0.6002,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",clinica,degree_c,-0.1694,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",escuela,betweenness_c,-0.1125,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",escuela,closeness_c,-0.1034,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",escuela,degree_c,-0.1732,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",farmacia,betweenness_c,-0.0991,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",farmacia,closeness_c,-0.4993,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",farmacia,degree_c,-0.2183,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",hospital,betweenness_c,-0.0552,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",hospital,closeness_c,-0.6049,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",hospital,degree_c,-0.1578,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",mercado,betweenness_c,-0.1147,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",mercado,closeness_c,-0.3514,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",mercado,degree_c,-0.2032,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",parque,betweenness_c,-0.0631,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",parque,closeness_c,-0.2833,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",parque,degree_c,-0.1697,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",policia,betweenness_c,-0.0461,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",policia,closeness_c,-0.3952,0.0,True
1,México,Tijuana,"Noroeste (frontera, Pacífico)",policia,degree_c,-0.1162,0.0,True
2,México,Hermosillo,Noroeste,bomberos,betweenness_c,-0.1014,0.0,True
2,México,Hermosillo,Noroeste,bomberos,closeness_c,-0.6387,0.0,True
2,México,Hermosillo,Noroeste,bomberos,degree_c,-0.1044,0.0,True
2,México,Hermosillo,Noroeste,clinica,betweenness_c,-0.0858,0.0,True
2,México,Hermosillo,Noroeste,clinica,closeness_c,-0.54,0.0,True
2,México,Hermosillo,Noroeste,clinica,degree_c,-0.0556,0.0,True
2,México,Hermosillo,Noroeste,escuela,betweenness_c,-0.1507,0.0,True
2,México,Hermosillo,Noroeste,escuela,closeness_c,-0.1952,0.0,True
2,México,Hermosillo,Noroeste,escuela,degree_c,-0.1973,0.0,True
2,México,Hermosillo,Noroeste,farmacia,betweenness_c,-0.0724,0.0,True
2,México,Hermosillo,Noroeste,farmacia,closeness_c,-0.3398,0.0,True
2,México,Hermosillo,Noroeste,farmacia,degree_c,-0.0451,0.0,True
2,México,Hermosillo,Noroeste,hospital,betweenness_c,-0.0748,0.0,True
2,México,Hermosillo,Noroeste,hospital,closeness_c,-0.2981,0.0,True
2,México,Hermosillo,Noroeste,hospital,degree_c,-0.073,0.0,True
2,México,Hermosillo,Noroeste,mercado,betweenness_c,-0.1249,0.0,True
2,México,Hermosillo,Noroeste,mercado,closeness_c,-0.1051,0.0,True
2,México,Hermosillo,Noroeste,mercado,degree_c,-0.112,0.0,True
2,México,Hermosillo,Noroeste,parque,betweenness_c,-0.071,0.0,True
2,México,Hermosillo,Noroeste,parque,closeness_c,-0.3765,0.0,True
2,México,Hermosillo,Noroeste,parque,degree_c,-0.0931,0.0,True
2,México,Hermosillo,Noroeste,policia,betweenness_c,-0.1026,0.0,True
2,México,Hermosillo,Noroeste,policia,closeness_c,-0.4093,0.0,True
2,México,Hermosillo,Noroeste,policia,degree_c,-0.0958,0.0,True
3,México,Chihuahua,Norte,bomberos,betweenness_c,-0.1088,0.0,True
3,México,Chihuahua,Norte,bomberos,closeness_c,-0.2111,0.0,True
3,México,Chihuahua,Norte,bomberos,degree_c,-0.1165,0.0,True
3,México,Chihuahua,Norte,clinica,betweenness_c,-0.1116,0.0,True
3,México,Chihuahua,Norte,clinica,closeness_c,-0.6168,0.0,True
3,México,Chihuahua,Norte,clinica,degree_c,-0.0915,0.0,True
3,México,Chihuahua,Norte,escuela,betweenness_c,-0.1252,0.0,True
3,México,Chihuahua,Norte,escuela,closeness_c,-0.1034,0.0,True
3,México,Chihuahua,Norte,escuela,degree_c,-0.1993,0.0,True
