id,pais,ciudad,estado_departamento,region_geografica,poblacion,poblacion_metro,altitud_m,costero,lat,lon,network_type,metodo_red,n_nodos,n_aristas,grado_promedio,densidad_red,long_prom_arista_m,long_total_calles_m,n_intersecciones,circuity_avg,clustering_prom,n_pois_total,servicios_con_datos,n_pois_hospital,n_pois_clinica,n_pois_farmacia,n_pois_escuela,n_pois_mercado,n_pois_parque,n_pois_policia,n_pois_bomberos,degree_c_mean,degree_c_median,degree_c_std,degree_c_p90,degree_c_cv,closeness_c_mean,closeness_c_median,closeness_c_std,closeness_c_p90,closeness_c_cv,betweenness_c_mean,betweenness_c_median,betweenness_c_std,betweenness_c_p90,betweenness_c_cv,dist_hospital_mean,dist_hospital_median,dist_hospital_std,dist_hospital_p90,dist_hospital_cv,pct_acceso_hospital,dist_clinica_mean,dist_clinica_median,dist_clinica_std,dist_clinica_p90,dist_clinica_cv,pct_acceso_clinica,dist_farmacia_mean,dist_farmacia_median,dist_farmacia_std,dist_farmacia_p90,dist_farmacia_cv,pct_acceso_farmacia,dist_escuela_mean,dist_escuela_median,dist_escuela_std,dist_escuela_p90,dist_escuela_cv,pct_acceso_escuela,dist_mercado_mean,dist_mercado_median,dist_mercado_std,dist_mercado_p90,dist_mercado_cv,pct_acceso_mercado,dist_parque_mean,dist_parque_median,dist_parque_std,dist_parque_p90,dist_parque_cv,pct_acceso_parque,dist_policia_mean,dist_policia_median,dist_policia_std,dist_policia_p90,dist_policia_cv,pct_acceso_policia,dist_bomberos_mean,dist_bomberos_median,dist_bomberos_std,dist_bomberos_p90,dist_bomberos_cv,pct_acceso_bomberos,corr_bomberos_betweenness_c_p,corr_bomberos_betweenness_c_rho,corr_bomberos_closeness_c_p,corr_bomberos_closeness_c_rho,corr_bomberos_degree_c_p,corr_bomberos_degree_c_rho,corr_clinica_betweenness_c_p,corr_clinica_betweenness_c_rho,corr_clinica_closeness_c_p,corr_clinica_closeness_c_rho,corr_clinica_degree_c_p,corr_clinica_degree_c_rho,corr_escuela_betweenness_c_p,corr_escuela_betweenness_c_rho,corr_escuela_closeness_c_p,corr_escuela_closeness_c_rho,corr_escuela_degree_c_p,corr_escuela_degree_c_rho,corr_farmacia_betweenness_c_p,corr_farmacia_betweenness_c_rho,corr_farmacia_closeness_c_p,corr_farmacia_closeness_c_rho,corr_farmacia_degree_c_p,corr_farmacia_degree_c_rho,corr_hospital_betweenness_c_p,corr_hospital_betweenness_c_rho,corr_hospital_closeness_c_p,corr_hospital_closeness_c_rho,corr_hospital_degree_c_p,corr_hospital_degree_c_rho,corr_mercado_betweenness_c_p,corr_mercado_betweenness_c_rho,corr_mercado_closeness_c_p,corr_mercado_closeness_c_rho,corr_mercado_degree_c_p,corr_mercado_degree_c_rho,corr_parque_betweenness_c_p,corr_parque_betweenness_c_rho,corr_parque_closeness_c_p,corr_parque_closeness_c_rho,corr_parque_degree_c_p,corr_parque_degree_c_rho,corr_policia_betweenness_c_p,corr_policia_betweenness_c_rho,corr_policia_closeness_c_p,corr_policia_closeness_c_rho,corr_policia_degree_c_p,corr_policia_degree_c_rho
1,México,Tijuana,Baja California,"Noroeste (frontera, Pacífico)",1922523,2157853,20,Sí,32.5149,-117.0382,walk,pbf_disk_6000m,21809,30162,2.766,0.000127,65.7,1990492.0,17317,1.0696,0.0409,1158,8,16,25,90,593,175,241,15,3,0.000127,0.000138,4.6e-05,0.000183,0.3653,0.016506,0.016751,0.002437,0.019408,0.1476,0.0028,0.000284,0.011501,0.005342,4.1067,2185.653313,1632.727,1716.194495,4662.5234,0.7852,33.33,1897.911068,1292.224,1602.118547,4454.3738,0.8441,41.57,945.191984,671.036,868.854344,2149.9318,0.9192,64.79,450.791914,385.554,322.530584,857.2698,0.7155,93.95,621.797415,460.436,548.516997,1295.5256,0.8821,79.27,716.310771,508.999,600.475634,1645.8814,0.8383,72.05,1923.215679,1693.316,1289.536262,3552.6174,0.6705,31.1,3982.996494,3157.493,2719.631429,8480.6548,0.6828,7.08,0.0,-0.0347,0.0,-0.5234,0.0,-0.1484,0.0,-0.0579,0.0,-0.6002,0.0,-0.1694,0.0,-0.1125,0.0,-0.1034,0.0,-0.1732,0.0,-0.0991,0.0,-0.4993,0.0,-0.2183,0.0,-0.0552,0.0,-0.6049,0.0,-0.1578,0.0,-0.1147,0.0,-0.3514,0.0,-0.2032,0.0,-0.0631,0.0,-0.2833,0.0,-0.1697,0.0,-0.0461,0.0,-0.3952,0.0,-0.1162
2,México,Hermosillo,Sonora,Noroeste,936263,—,210,No,29.0729,-110.9559,walk,pbf_disk_6000m,20819,30290,2.91,0.00014,66.7,2023921.2,17625,1.0587,0.046,883,8,21,13,51,243,169,374,11,1,0.00014,0.000144,4.6e-05,0.000192,0.3287,0.01555,0.015417,0.002256,0.018554,0.145,0.003109,0.000339,0.009115,0.00724,2.9317,2054.273777,1604.691,1387.667423,4230.457,0.6755,26.51,2234.126676,2007.39,1387.574018,4245.7528,0.6211,22.25,1103.400784,952.85,704.575736,2180.7992,0.6385,52.55,596.086102,512.914,411.213132,1098.6468,0.6899,86.27,571.191492,506.558,377.241553,1094.7556,0.6604,87.37,533.208312,454.743,413.444375,1024.8604,0.7754,89.26,2826.370814,2680.724,1400.364069,4832.528,0.4955,8.3,4751.126477,4588.876,2237.993059,7916.9688,0.471,2.85,0.0,-0.1014,0.0,-0.6387,0.0,-0.1044,0.0,-0.0858,0.0,-0.54,0.0,-0.0556,0.0,-0.1507,0.0,-0.1952,0.0,-0.1973,0.0,-0.0724,0.0,-0.3398,0.0,-0.0451,0.0,-0.0748,0.0,-0.2981,0.0,-0.073,0.0,-0.1249,0.0,-0.1051,0.0,-0.112,0.0,-0.071,0.0,-0.3765,0.0,-0.0931,0.0,-0.1026,0.0,-0.4093,0.0,-0.0958
3,México,Chihuahua,Chihuahua,Norte,937674,988065,1440,No,28.6353,-106.0889,walk,pbf_disk_6000m,22179,33359,3.008,0.000136,69.7,2330982.1,19613,1.0581,0.0456,1123,8,19,5,23,170,99,801,2,4,0.000136,0.000135,4e-05,0.00018,0.2954,0.017867,0.017815,0.0025,0.021362,0.1399,0.00253,0.000337,0.009001,0.005125,3.5577,1826.28653,1679.695,1079.030815,3314.1778,0.5908,24.93,3048.235656,2996.041,1533.590118,5075.5608,0.5031,9.7,1802.137931,1679.576,1055.91849,3215.03,0.5859,26.85,645.96433,546.405,446.119925,1199.8116,0.6906,82.7,801.723741,685.91,580.788959,1510.3034,0.7244,72.73,406.927157,341.886,348.263844,823.9548,0.8558,95.66,3882.038545,3821.836,1672.802448,6130.5488,0.4309,3.21,2979.917759,3005.338,1324.235634,4592.9598,0.4444,6.43,0.0,-0.1088,0.0,-0.2111,0.0,-0.1165,0.0,-0.1116,0.0,-0.6168,0.0,-0.0915,0.0,-0.1252,0.0,-0.1034,0.0,-0.1993,0.0,-0.1171,0.0,-0.4278,0.0,-0.1177,0.0,-0.109,0.0,-0.3707,0.0,-0.0962,0.0,-0.1382,0.0,-0.4047,0.0,-0.1161,0.0,-0.0355,0.0,-0.2231,0.240056,-0.0079,0.0,-0.1082,0.0,-0.3484,0.0,-0.1091
4,México,Monterrey,Nuevo León,Noreste,1142994,5341171,540,No,25.6866,-100.3161,walk,pbf_disk_6000m,29846,43607,2.922,9.8e-05,65.9,2880568.2,26166,1.0626,0.0475,1408,8,51,58,76,203,302,707,6,5,9.8e-05,0.000101,2.9e-05,0.000134,0.3011,0.018542,0.018855,0.002742,0.022012,0.1479,0.001816,0.000201,0.008749,0.002965,4.8181,1148.08985,1068.7785,620.946712,1974.5605,0.5409,45.11,1289.13563,1203.1455,721.786049,2217.0085,0.5599,37.96,918.267356,855.5945,519.740974,1654.3355,0.566,59.94,705.997706,610.7375,463.987803,1314.5965,0.6572,79.55,497.999621,440.419,331.266668,931.5875,0.6652,92.65,432.62013,380.093,307.842228,853.637,0.7116,94.87,3082.189025,2525.4235,1873.095199,5991.283,0.6077,8.35,3098.905338,2809.9505,1699.229437,5661.3135,0.5483,7.6,0.462044,0.0043,0.0,-0.2826,0.054803,-0.0111,0.0,-0.0557,0.0,-0.1884,0.0,-0.0654,0.0,-0.0672,0.0,-0.0438,0.0,-0.0975,0.0,-0.0529,0.0,-0.1025,0.0,-0.0448,0.0,-0.0784,0.0,-0.2997,0.0,-0.1012,0.0,-0.1055,0.0,-0.1685,0.0,-0.1217,0.0,-0.0599,0.0,0.1003,0.0,-0.1215,0.0,-0.0341,0.0,-0.2027,0.0,-0.066
5,México,Culiacán,Sinaloa,Noroeste,1003530,—,55,No,24.8091,-107.394,walk,pbf_disk_6000m,21516,33129,3.079,0.000143,69.8,2317116.7,19289,1.0346,0.0422,758,8,14,10,46,118,188,375,6,1,0.000143,0.000139,4.1e-05,0.000186,0.2855,0.016103,0.015954,0.002623,0.019636,0.1629,0.002918,0.000368,0.010078,0.005735,3.4535,2416.971521,2275.592,1373.627541,4199.3975,0.5683,16.53,2147.254206,2091.532,1055.580883,3572.3655,0.4916,15.18,1333.291992,1128.4755,884.863495,2655.277,0.6637,44.53,938.929016,750.504,764.35866,1751.857,0.8141,67.03,598.66152,487.788,454.607225,1214.5375,0.7594,84.44,514.40186,439.8305,377.956317,1040.7235,0.7347,88.72,4172.339577,4165.5035,1819.836072,6592.8105,0.4362,5.0,5455.307136,5357.1145,2290.833108,8543.5415,0.4199,1.73,0.0,-0.0885,0.0,-0.5854,6e-06,-0.0307,0.0,-0.157,0.0,-0.2407,0.0,-0.1664,0.0,-0.1414,0.0,-0.3992,0.0,-0.145,0.0,-0.0571,0.0,-0.3699,1.4e-05,-0.0296,0.0,-0.1163,0.0,-0.7181,0.0,-0.0931,0.0,-0.0959,0.0,-0.3689,0.0,-0.0601,0.017528,0.0162,0.0,0.0887,0.688033,0.0027,0.0,-0.0679,0.0,-0.6073,0.685731,0.0028
6,México,Guadalajara,Jalisco,Occidente (Bajío),1385629,5268642,1566,No,20.6597,-103.3496,walk,pbf_disk_6000m,27890,42518,3.049,0.000109,66.4,2825758.8,24309,1.0311,0.0315,3942,8,50,49,829,1848,223,928,11,4,0.000109,0.000108,3.4e-05,0.000143,0.3107,0.015302,0.01513,0.002276,0.018686,0.1487,0.002359,0.00026,0.008621,0.004487,3.6543,1601.609652,1123.7125,1300.219728,3534.6095,0.8118,44.63,1434.576171,1279.182,850.553072,2642.6138,0.5929,36.33,372.541375,289.5395,323.737352,769.3435,0.869,94.81,251.805577,213.4885,195.295582,476.7142,0.7756,98.9,578.416409,498.812,391.797121,1094.342,0.6774,86.59,395.819469,327.1945,315.451991,825.5991,0.797,94.49,2681.806597,2672.4605,1312.763855,4483.2496,0.4895,11.77,3285.341546,3100.9625,1700.031729,5760.0939,0.5175,7.78,0.0,-0.0388,0.0,-0.3337,0.0,-0.032,0.0,-0.0736,0.0,-0.4729,0.0,-0.046,0.0,-0.1291,0.033572,0.0127,0.0,-0.2114,0.0,-0.1403,0.0,-0.1458,0.0,-0.2121,0.0,-0.0755,0.0,-0.3156,0.0,-0.1149,0.0,-0.068,0.0,-0.178,0.0,-0.102,0.001762,-0.0187,0.0,-0.0842,0.0,-0.0662,0.0,-0.0618,0.0,-0.5015,0.0,-0.0845
7,México,Aguascalientes,Aguascalientes,Centro-Bajío,948990,1140916,1880,No,21.8853,-102.2916,walk,pbf_disk_6000m,25179,37069,2.944,0.000117,70.1,2605819.5,22250,1.045,0.0453,1680,8,24,15,65,843,218,502,12,1,0.000117,0.000119,3.4e-05,0.000159,0.2894,0.018322,0.018689,0.002286,0.020998,0.1248,0.002166,0.000253,0.008929,0.003824,4.123,1796.591908,1514.498,1110.160638,3500.1676,0.6179,26.67,2668.839789,2457.048,1471.816489,4864.1458,0.5515,12.26,1038.710245,886.707,712.766424,1922.251,0.6862,58.05,475.913997,336.373,444.512146,1072.6918,0.934,88.36,682.665094,539.782,571.787396,1335.9868,0.8376,81.04,569.969708,442.069,509.271092,1190.8198,0.8935,86.26,2362.380777,2031.707,1419.280159,4483.6396,0.6008,15.8,5643.639857,5642.759,2651.423266,9315.8098,0.4698,1.78,0.0,-0.0533,0.0,-0.4367,0.0,-0.063,0.0,-0.0761,0.0,-0.397,0.0,-0.0762,0.0,-0.1345,0.0,-0.3604,0.0,-0.1879,0.0,-0.1252,0.0,-0.3714,0.0,-0.1423,0.0,-0.1089,0.0,-0.5599,0.0,-0.1044,0.0,-0.148,0.0,-0.3151,0.0,-0.1381,0.0,-0.1095,0.0,-0.3228,0.0,-0.1243,0.0,-0.0901,0.0,-0.4827,0.0,-0.087
8,México,San Luis Potosí,San Luis Potosí,Centro-Norte,911908,1271366,1860,No,22.1565,-100.9855,walk,pbf_disk_6000m,27375,39617,2.894,0.000106,64.5,2564047.2,23385,1.0438,0.037,4604,8,22,19,72,187,3509,782,9,4,0.000106,0.00011,3.3e-05,0.000146,0.3157,0.015061,0.014812,0.00214,0.018146,0.1421,0.002438,0.000249,0.009423,0.004354,3.8655,2102.212515,1732.157,1451.737556,4446.1976,0.6906,22.68,2410.981224,2300.58,1409.262791,4452.8744,0.5845,20.6,1173.164778,893.64,900.609286,2550.9474,0.7677,54.85,758.732026,622.673,573.608059,1500.4498,0.756,75.1,200.48058,111.389,306.511968,434.8986,1.5289,96.77,617.200035,469.55,547.082052,1325.6476,0.8864,80.73,2257.424817,2123.444,1163.19105,3926.3646,0.5153,13.82,3397.955096,3344.178,1532.627115,5465.1624,0.451,5.53,0.0,-0.0739,0.0,-0.6404,0.0,-0.0645,0.0,-0.1131,0.0,-0.6427,0.0,-0.1314,0.0,-0.1115,0.0,-0.2193,0.0,-0.1357,0.0,-0.0953,0.0,-0.2659,0.0,-0.1157,0.0,-0.0815,0.0,-0.1384,0.0,-0.1086,0.0,-0.2022,0.008608,-0.0159,0.0,-0.2622,0.0,-0.0715,0.0,-0.1684,0.0,-0.1243,0.0,-0.0561,0.0,-0.2602,0.0,-0.0656
9,México,Querétaro,Querétaro,Bajío (Centro),1049777,1594212,1820,No,20.5888,-100.3899,walk,pbf_disk_6000m,30181,42346,2.806,9.3e-05,58.5,2485152.9,25554,1.0641,0.0462,2260,8,34,22,177,218,1072,716,16,5,9.3e-05,9.9e-05,3e-05,0.000133,0.3176,0.014402,0.014276,0.002419,0.017706,0.168,0.002337,0.0002,0.009366,0.004157,4.0083,1757.396865,1492.595,1239.292433,3421.954,0.7052,31.02,2123.087081,1764.763,1454.60359,4278.756,0.6851,26.43,834.406442,596.639,826.13209,1735.546,0.9901,72.88,786.733742,576.127,723.357703,1718.261,0.9194,76.86,401.462747,240.327,539.534097,853.634,1.3439,92.18,469.191473,354.09,519.670688,923.132,1.1076,91.8,1745.583826,1555.799,1081.089269,3169.074,0.6193,26.14,3043.430849,2631.117,1771.337292,5679.946,0.582,9.2,0.0,-0.0758,0.0,-0.3381,0.0,-0.1151,0.0,-0.0919,0.0,-0.3706,0.0,-0.0947,0.0,-0.1317,0.0,-0.1828,0.0,-0.162,0.0,-0.1358,0.0,-0.2085,0.0,-0.1582,0.0,-0.0839,0.0,-0.5027,0.0,-0.089,0.0,-0.1954,0.0,-0.215,0.0,-0.2447,0.0,-0.1156,0.0,-0.0967,0.0,-0.157,0.0,-0.1054,0.0,-0.174,0.0,-0.1212
10,México,Ciudad de México,Ciudad de México,Centro,9209944,21804515,2240,No,19.4326,-99.1332,walk,pbf_disk_6000m,33834,52311,3.092,9.1e-05,59.5,3122243.0,30127,1.0364,0.0383,4636,8,85,103,245,579,1045,2535,41,3,9.1e-05,8.9e-05,2.7e-05,0.000118,0.2935,0.013989,0.013636,0.002043,0.017048,0.1461,0.002128,0.000222,0.007424,0.004243,3.4891,903.957317,801.236,534.79592,1635.343,0.5916,64.33,770.581497,715.738,420.056015,1359.3796,0.5451,72.58,584.295228,508.9555,381.446984,1126.4186,0.6528,85.45,385.439106,339.635,254.79172,724.7217,0.661,97.49,305.869544,247.782,239.707918,639.0821,0.7837,98.56,284.128334,244.988,228.792455,590.4768,0.8052,99.18,1160.412123,1100.3525,592.65296,1972.3391,0.5107,43.44,3053.715583,3032.3325,1344.689627,4903.0114,0.4403,6.18,0.0,-0.0665,0.0,-0.6433,0.0,-0.0357,0.0,-0.0935,0.0,-0.2159,0.0,-0.1298,0.0,-0.0839,0.0,-0.1237,0.0,-0.1028,0.0,-0.0955,0.0,-0.1333,0.0,-0.1825,0.0,-0.054,0.0,-0.3075,0.0,-0.0484,0.0,-0.1281,0.0,-0.2924,0.0,-0.2045,0.001968,-0.0168,0.0,-0.247,0.0,-0.0703,0.017097,-0.013,0.261229,0.0061,0.016551,0.013
