columna,descripcion
id,Identificador de la ciudad (correlativo del Excel maestro)
pais,País (México / Colombia)
ciudad,Nombre de la ciudad
estado_departamento,Estado (MX) o departamento (CO)
region_geografica,Zona geográfica dentro del país
poblacion,Población municipal (INEGI 2020 / DANE 2024)
poblacion_metro,Población del área metropolitana (si aplica)
altitud_m,Altitud media (m)
costero,La ciudad está sobre la costa (Sí/No)
lat,Latitud del centro (WGS84)
lon,Longitud del centro (WGS84)
network_type,Tipo de red descargada (walk/drive/bike)
metodo_red,Método de descarga (point_<r>m = disco lat/lon; place = límite admin.)
n_nodos,Nº de nodos (intersecciones) de la red no dirigida
n_aristas,Nº de aristas (tramos de calle)
grado_promedio,Grado medio de los nodos
densidad_red,Densidad del grafo (aristas / posibles)
long_prom_arista_m,Longitud media de tramo de calle (m)
long_total_calles_m,Longitud total de la red vial (m)
n_intersecciones,Nº de intersecciones (OSMnx basic_stats)
circuity_avg,Circuidad media (long. real / long. en línea recta)
clustering_prom,Coeficiente de clustering medio
n_pois_total,Nº total de POIs encontrados en OSM dentro del área
servicios_con_datos,Nº de tipos de servicio con al menos un POI
n_pois_hospital,Nº de POIs de tipo 'hospital'
n_pois_clinica,Nº de POIs de tipo 'clinica'
n_pois_farmacia,Nº de POIs de tipo 'farmacia'
n_pois_escuela,Nº de POIs de tipo 'escuela'
n_pois_mercado,Nº de POIs de tipo 'mercado'
n_pois_parque,Nº de POIs de tipo 'parque'
n_pois_policia,Nº de POIs de tipo 'policia'
n_pois_bomberos,Nº de POIs de tipo 'bomberos'
degree_c_mean,Centralidad degree_c — mean sobre los nodos
degree_c_median,Centralidad degree_c — median sobre los nodos
degree_c_std,Centralidad degree_c — std sobre los nodos
degree_c_p90,Centralidad degree_c — p90 sobre los nodos
degree_c_cv,Centralidad degree_c — cv sobre los nodos
closeness_c_mean,Centralidad closeness_c — mean sobre los nodos
closeness_c_median,Centralidad closeness_c — median sobre los nodos
closeness_c_std,Centralidad closeness_c — std sobre los nodos
closeness_c_p90,Centralidad closeness_c — p90 sobre los nodos
closeness_c_cv,Centralidad closeness_c — cv sobre los nodos
betweenness_c_mean,Centralidad betweenness_c — mean sobre los nodos
betweenness_c_median,Centralidad betweenness_c — median sobre los nodos
